"Position", "Relevanz"
"With Amazon Pay and Login with Amazon, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.", "Mit Amazon Pay und Login mit Amazon können Sie sich auf einfache Weise anmelden und die Liefer- und Zahlungsdaten aus Ihrem Amazon-Kundenkonto verwenden, um auf dieser Website eine Bestellung aufzugeben."
"Place order now", "Zahlungspflichtig bestellen"
"Return to login", "Zurück zum Login"
"Please enter your email below and we will send you a new password.","Bitte geben Sie Ihre E-Mail-Adresse ein und wir senden Ihnen ein neues Passwort zu.",module,Rokanthemes_OpCheckout
"Send password","Passwort senden"
"Create a new account","Neues Konto anlegen"
"Please enter the following information to create a new account.","Bitte geben Sie Ihre Daten ein."
"Register", "Registrieren"
"Send password", "Passwort senden"
"Please wait, processing your order...", "Bitte warten..."
"Street Address", "Straße"
"With Amazon Pay and Login with Amazon, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Mit Amazon Pay und Login bei Amazon können Sie sich ganz einfach anmelden und die in Ihrem Amazon-Konto gespeicherten Versand- und Zahlungsinformationen verwenden, um eine Bestellung in diesem Shop aufzugeben."
,module,Amazon_Payment